Gene,Screen 1 P value,Screen 2 P value,Fisher P value,Fisher P adjusted value,Screen 1 log2 Fold Enrichment,Screen 2 log2 Fold Enrichment,Combined log2 Fold Enrichment,Fold Enrichment,Screen 1 'Good' sgRNAs,Screen 2 'Good' sgRNAs
DIS3,0.022709,0.049893,0.008818146761231204,0.0555500646214758,0.95756,0.54916,0.75336,1.6857142478368503,3,2
MRPL41,0.024921,0.013357,0.0029984109578360574,0.033558034956103995,0.40847,1.0971,0.752785,1.6850425240618137,2,3
SP110,0.0090231,0.031911,0.002635413826912397,0.03272932981232158,0.77529,0.72673,0.75101,1.682970629993803,3,3
MRPL53,0.02403,0.0026136,6.70471404312702e-4,0.016190642800440063,0.64525,0.85182,0.748535,1.6800859029234043,4,4
OR5A1,0.17485,0.0053862,0.007503836684617643,0.05096355748302816,0.30488,1.1913,0.74809,1.679567759509323,3,2
SGSM3,0.020477,0.034097,0.005772053888202552,0.04507040880368939,0.69848,0.78839,0.7434350000000001,1.674157199516557,3,3
SUSD1,0.19851,0.0064431,0.009799416345891925,0.058349036141749175,0.21899,1.2631,0.741045,1.671386050274432,2,3
RHOU,0.001034,0.17521,0.0017421196188263524,0.02496399981263257,0.99272,0.48896,0.74084,1.6711485712588257,4,2
MTG1,2.3802e-4,0.095506,2.657801790833003e-4,0.010193451574253635,1.2558,0.21911,0.737455,1.6672321463648998,3,2
MRPS11,0.029533,0.010259,0.0027576689017201027,0.032809172004510376,0.79313,0.66869,0.73091,1.6596856313729837,3,2
RER1,0.0048547,0.071841,0.003125334264824895,0.033558034956103995,0.73318,0.72863,0.730905,1.6596798793508714,4,2
SON,0.004848,0.041137,0.00189860156475237,0.026338047238692455,1.0111,0.45034,0.73072,1.659467068546399,3,2
WASH1,0.093971,0.008696,0.006626986556966215,0.04800883594602191,0.70182,0.75539,0.728605,1.6570360617620352,3,2
C3orf33,0.054021,0.010119,0.0046528354044653485,0.040032619252656845,0.51087,0.94166,0.726265,1.654350586717383,2,2
CTBP1,0.0073218,0.11415,0.006759098755327962,0.04869538550799814,1.0052,0.44563,0.725415,1.6533761716180142,3,2
DGKG,0.0089902,0.05595,0.004323257790508481,0.0383505938449218,0.92085,0.52995,0.7254,1.653358981211904,4,2
UROS,0.0041953,0.03447,0.0014231925936954099,0.02357208890839875,0.72154,0.7285,0.72502,1.6529235505355684,4,3
SRSF3,0.0142,0.065631,0.007435383924411733,0.05096355748302816,0.84403,0.60009,0.7220599999999999,1.6495356980547389,3,2
CTSD,9.2719e-4,0.10095,9.618769719678537e-4,0.019268757000603744,0.93027,0.51215,0.72121,1.6485641189323705,4,2
TAMM41,2.1389e-4,0.12836,3.1581299273643305e-4,0.010559490834059198,1.0379,0.40022,0.71906,1.6461091488887822,3,2
MRPL17,0.0012261,0.0253,3.530382736628134e-4,0.011228339240397773,0.74347,0.69042,0.7169449999999999,1.6436977105513784,4,2
LRRC38,0.50488,0.0019157,0.007680627399688852,0.051626485202032286,0.13604,1.2971,0.7165699999999999,1.6432705194110606,2,3
RRS1,0.11682,0.0057216,0.005554801271052774,0.044167444252761076,0.20335,1.2216,0.712475,1.6386128118437913,2,3
DNAJA2,0.063001,8.6762e-4,5.911230261180016e-4,0.01573111073587498,0.53864,0.88489,0.711765,1.6378065923503793,3,4
TAF6L,0.010234,0.12736,0.009961613085858757,0.05904519756345373,0.72691,0.69179,0.7093499999999999,1.6350672786600908,2,2
H2AFZ,0.0062777,0.058246,0.0032593506245842015,0.03427575172949838,0.8173,0.59815,0.7077249999999999,1.63322663427701,3,2
TRRAP,0.18473,0.0046339,0.006902277311146249,0.04918344051221152,0.25388,1.1568,0.7053400000000001,1.6305288863388518,2,3
AP1M1,0.0018706,0.15391,0.002635152136637946,0.03272932981232158,0.78111,0.62393,0.70252,1.6273448451045243,4,2
SLBP,0.01818,0.042385,0.006294231918961429,0.04672896751779438,0.7062,0.67483,0.690515,1.6138595163503127,3,2
SCFD1,0.19876,0.0010299,0.0019434394851992691,0.026676264091577338,0.17025,1.2107,0.6904750000000001,1.6138147712836708,2,2
PRG2,0.33079,0.0028319,0.007468894941984072,0.05096355748302816,0.22674,1.144,0.6853699999999999,1.608114352778722,2,3
PSMC1,0.022977,0.039783,0.007310537221777263,0.050438838821151064,0.57549,0.7901,0.682795,1.6052466634245757,2,2
FANCA,0.039809,0.025898,0.008121237711617624,0.05375682221294103,0.39925,0.96562,0.682435,1.6048461514055457,4,3
NFX1,0.0037814,0.11098,0.00368296195802137,0.036383199948938384,0.77569,0.58731,0.6815,1.6038063994326768,3,2
LSM12,0.029348,0.026487,0.0063428123087803726,0.04672896751779438,0.44705,0.91426,0.680655,1.6028673100443278,4,3
GPAA1,9.7752e-4,0.17442,0.0016498818384517386,0.024173549633045698,0.70741,0.64738,0.677395,1.59924946429499,4,2
RPS24,0.14525,4.8812e-4,7.482901789026556e-4,0.01727820809933847,-0.034392,1.3832,0.674404,1.5959373297111212,2,4
TLK2,0.02491,0.030633,0.006240495011343369,0.04672896751779438,0.62495,0.71304,0.668995,1.5899649914896443,2,3
ATIC,0.0412,0.02749,0.008815215550356277,0.0555500646214758,0.3821,0.95428,0.6681900000000001,1.589078064758301,4,3
MRPL10,6.9045e-4,0.097055,7.110365242318331e-4,0.016858029592696555,0.9401,0.378,0.65905,1.5790424978955713,4,2
CWC22,0.24615,0.0029921,0.006049356435329617,0.045597461223524975,0.33764,0.97902,0.65833,1.5782546481305386,3,2
NPIPB9,0.005283,0.11582,0.005139142686426345,0.04221765443999324,0.6226,0.69206,0.65733,1.577161064421998,4,2
Mar-06,0.29773,0.0014808,0.0038474332327172326,0.036749937164067444,0.038432,1.2722,0.655316,1.5749608861453925,2,3
EP300,0.14601,0.0081634,0.009216273106397523,0.05690433401844317,0.20281,1.1059,0.654355,1.5739121312900353,2,2
SSBP1,0.010822,0.011587,0.0012519445556380007,0.021783483800982256,0.76016,0.54297,0.651565,1.5708713143362931,3,2
EDC4,0.010498,0.045252,0.004110217646130362,0.03787412142772325,0.54272,0.74639,0.644555,1.5632570244805097,4,2
AGK,0.019439,0.019937,0.003432055209098431,0.03551904756082821,0.40947,0.87353,0.6415,1.5599502290996772,4,3
SLC25A4,0.099831,0.0097996,0.007757646623931415,0.051876775372341366,0.43863,0.84433,0.64148,1.5599286037475109,3,2
POLR2L,0.0060107,0.0074445,4.928617684773571e-4,0.014282038802099415,0.72382,0.55573,0.639775,1.5580861441923703,5,3
KIAA0430,0.021596,0.0076828,0.0016100688841822009,0.02413252672383437,0.3259,0.94825,0.6370750000000001,1.555172916942888,2,3
WBSCR16,0.10141,0.0014921,0.0014822939344238477,0.02357208890839875,0.47063,0.80271,0.6366700000000001,1.5547364029081923,3,2
ARRDC3,0.0065473,0.030174,0.001882626646535194,0.026338047238692455,0.46986,0.7935,0.63168,1.5493681629467018,4,2
PAG1,0.058025,0.011256,0.005443007527098581,0.04381285071195401,0.36209,0.89887,0.6304799999999999,1.5480799705565704,2,3
WDR4,0.047639,0.022441,0.008382519802564012,0.05465402911271735,0.43547,0.82529,0.6303799999999999,1.5479726695486957,2,3
PHLDA1,0.12581,0.0035473,0.0038891804667494693,0.036749937164067444,0.20811,1.0501,0.629105,1.546605233445539,2,2
NOB1,0.01523,0.072142,0.008584987058550157,0.05517059012161207,0.80974,0.44616,0.62795,1.545367540010204,3,2
MRPL52,0.0029084,0.020649,6.438099603608908e-4,0.016086067395510818,0.8107,0.44271,0.626705,1.5440345121674344,4,2
TRAF4,0.1108,0.010796,0.009244936263912224,0.05690433401844317,0.18657,1.0636,0.6250850000000001,1.5423016913069751,2,3
TMEM199,0.0069844,0.086407,0.0050771111755990505,0.04216912721644052,1.0244,0.21753,0.620965,1.5379035210455592,3,2
CNTF,0.0010638,0.1969,0.0019838098087644144,0.026895284825370864,0.80509,0.43674,0.620915,1.5378502222946822,3,2
ENO3,0.071921,0.012218,0.007062387372796457,0.05005083225068793,0.45789,0.78326,0.620575,1.5374878397721712,3,2
RNF182,0.037388,0.018971,0.0058525100081339414,0.045157828701814555,0.38367,0.84468,0.614175,1.5306824314990413,4,3
COX5B,0.25514,0.0011942,0.0027715112887490194,0.032809172004510376,0.19961,1.0286,0.614105,1.5306081641259726,3,4
SLC25A26,0.025265,0.019193,0.004185532315727182,0.03790232041464059,0.34803,0.87643,0.61223,1.528620199860307,4,3
ZC3H7A,0.343,0.0010366,0.0031793030519891826,0.03370578194954386,0.20786,1.016,0.61193,1.5283023652728704,2,4
FAM163B,0.0013745,0.20159,0.0025467435662007956,0.0322422680614159,1.0485,0.16846,0.60848,1.5246520139198985,3,2
CDYL,0.0028925,0.049884,0.0014203406784405533,0.02357208890839875,0.58096,0.61959,0.600275,1.5160055130811334,4,2
MN1,0.0035776,0.20253,0.0059631715628323855,0.045473542210137025,0.68189,0.51168,0.596785,1.5123426011472085,2,2
BAGE,0.033821,0.0090298,0.0027772480777655227,0.032809172004510376,0.18582,0.99134,0.58858,1.5037659085970838,2,3
IRF4,0.078109,0.0082918,0.005402904312873831,0.04376016909308991,0.19963,0.96001,0.57982,1.494662753171803,2,3
LINGO3,0.012137,0.073826,0.007183926443198643,0.05009540150765257,0.6406,0.51194,0.57627,1.4909893989660763,3,2
ADTRP,0.25279,0.0013837,0.003133445308161258,0.033558034956103995,0.27718,0.87295,0.5750649999999999,1.4897445814073615,2,4
CDIPT,0.19448,0.0021191,0.0036242840664275776,0.03635435709708893,0.16412,0.97445,0.569285,1.4837880226838402,2,4
HARS2,0.476,0.0022922,0.008532935442312319,0.05517059012161207,-0.027003,1.1617,0.5673485,1.4817977004993415,2,2
SLC2A1,0.0079529,0.14479,0.008943345995042777,0.055799632428400865,0.88073,0.2525,0.566615,1.4810445112757258,3,2
RHOT1,0.47791,9.277e-4,0.0038665771842619203,0.036749937164067444,0.26219,0.86793,0.56506,1.4794490365251118,2,2
SSUH2,0.016137,0.077285,0.00958669719180905,0.058349036141749175,0.4607,0.6598,0.56025,1.4745247108151267,4,2
PPP6C,0.0078358,0.11312,0.007116222029760481,0.05009540150765257,0.8037,0.31658,0.56014,1.4744122882100223,2,2
RPL4,0.11237,0.0064177,0.0059384777830631275,0.045473542210137025,0.14322,0.97436,0.55879,1.4730332541525577,2,2
RC3H1,0.0059157,0.11126,0.005480033541680061,0.043840268333440485,0.89159,0.21236,0.551975,1.4660913515419176,3,2
USP17L19,0.24899,0.0027852,0.00573775714994877,0.04507040880368939,0.35699,0.73956,0.548275,1.4623361657376064,3,2
XRN2,0.060092,0.0093559,0.004769619989898987,0.040650878868158685,0.46938,0.61731,0.543345,1.4573475761768668,3,2
DUSP8,0.48008,0.0026511,0.009757567716901555,0.058349036141749175,0.16777,0.90897,0.53837,1.4523307033501038,2,4
SF3B5,0.0091083,0.05565,0.004352674761540205,0.0383505938449218,0.38179,0.6912,0.536495,1.450444406381449,2,2
RMND1,0.50602,0.0021807,0.008617376534006925,0.05517059012161207,0.23594,0.82796,0.53195,1.4458821832194533,2,4
ATP6V0B,0.024003,0.019915,0.004132891084460258,0.03787412142772325,0.94248,0.11985,0.531165,1.4450956630301568,3,2
CACUL1,0.038096,0.02756,0.008251404158358597,0.054342580921715206,0.31004,0.74712,0.52858,1.4425086799817377,4,2
XKR8,0.05755,0.0074928,0.0037726247463197005,0.036749937164067444,0.047076,0.99939,0.523233,1.4371722658556099,2,3
NUP43,0.02667,0.020564,0.0046663789312912885,0.040032619252656845,0.076146,0.96801,0.522078,1.4360221477515012,2,3
MFAP1,0.054216,0.0081147,0.003840230856253292,0.036749937164067444,0.64448,0.36692,0.5057,1.4198120862210677,3,2
RPL7L1,0.0043756,0.048325,0.0020006461871633235,0.026895284825370864,0.17909,0.81097,0.49502999999999997,1.40935006144796,2,2
UBE2M,0.046182,0.027183,0.009641618148830878,0.058349036141749175,0.40801,0.54771,0.47786,1.3926763279576686,3,2
MED13,0.032268,0.012751,0.003619035688166297,0.03635435709708893,0.21098,0.69351,0.452245,1.3681676278509587,2,2
DDX3X,0.030967,0.039031,0.0093288187319618,0.05711164143886473,0.38698,0.51238,0.44967999999999997,1.3657372929306006,4,2
RPS3,0.0027225,0.041515,0.0011401813210785358,0.020940794967414234,0.28349,0.6109,0.447195,1.363386875243932,2,2
RBM22,0.56663,0.0012476,0.005835391968585523,0.045157828701814555,-0.27501,1.1659,0.445445,1.3617340792785675,2,2
NAA15,0.17058,0.0028119,0.004145382827595007,0.03787412142772325,0.64754,0.24294,0.44523999999999997,1.361540597187095,3,2
TUBB8,0.20105,0.0055423,0.008690875055707318,0.05528244425679192,0.41673,0.46788,0.442305,1.3587735123453526,3,2
LMTK3,0.022386,0.056598999999999997,0.009719456184423535,0.058349036141749175,0.52035,0.36291,0.44162999999999997,1.3581379257746293,3,2
HIF1A,0.0056148,0.13007,0.006004689910294516,0.04552392815711656,0.65697,0.19505,0.42601,1.3435127382096874,4,2
DPP9,0.57335,0.0014202,0.006606362349108033,0.04800883594602191,0.17948,0.67119,0.42533499999999996,1.3428842900936155,2,2
RCAN3,0.20867,0.004086,0.006878292879520482,0.04918344051221152,0.28513,0.54374,0.414435,1.3327766220199422,2,2
SLC27A1,0.3593,0.0014988,0.004591782171679489,0.03991789301246702,-0.13616,0.92425,0.394045,1.3140726145678883,2,4
ADAP2,0.0068996,0.046125,0.002880965370795764,0.032954200381734,0.56101,0.22619,0.3936,1.3136673507241299,4,2
GID8,0.10072,0.0024488,0.002295647774748028,0.029935246982714284,0.45053,0.33249,0.39151,1.3117656480592224,3,2
CNOT3,0.32427,0.0032879,0.008362680709625111,0.05465402911271735,0.13643,0.59533,0.36588,1.2886674376829208,2,2
RPL9,0.46626,0.0019132,0.0071560051221815765,0.05009540150765257,0.23831,0.40196,0.320135,1.2484473667351845,4,4
OR4F6,0.053586,0.008774,0.00407275892187318,0.03787412142772325,0.05707,0.52983,0.29345,1.2255675467023897,2,2
SARS2,0.28189,0.0044865,0.009703938916278302,0.058349036141749175,0.24034,0.33695,0.28864500000000004,1.221492495392201,2,2
FTSJ3,0.49479,0.0016051,0.006463249040925528,0.04734874578296005,0.044076,0.49776,0.270918,1.206575338359664,2,2
TRPC1,0.0034523,0.12805,0.0038566143309700903,0.036749937164067444,0.19452,-0.081384,0.056568,1.0399888060791418,2,2
SORCS1,0.23981,0.0046098,0.008630981890190846,0.05517059012161207,-0.021196,0.1241,0.051452,1.036307390426887,2,2
